Marion Island,PB1,PB1_1A,ACE_ITRAX_16266,20.4,20.4,20.4,0.05,228.72,1335.16,645.13,677.7,0.0265,6.47,1,TRUE,21302,57540,1.28,0,6,0,6,21,0,0,141,185,0,58,8,8998,16,184,92,0,0,6,1620,0,50,0,882,0,0,0,0,83,139,0,38538,5860,0,44398,6.576450512,0.152057709,3.77,4.11,109.02
Marion Island,PB1,PB1_1A,ACE_ITRAX_16267,20.5,20.5,20.5,0.05,231.04,1337.38,648.82,681.47,0.0265,6.48,1,TRUE,21212,52844,1.21,49,41,15,9,23,15,33,159,146,4,24,14,4048,25,181,76,0,0,22,1447,0,219,0,846,0,0,0,0,0,0,0,39041,5775,40,44816,6.76034632,0.147921416,3.77,2.27,60.21
Marion Island,PB1,PB1_1A,ACE_ITRAX_16268,20.6,20.6,20.6,0.05,233.19,1340.94,652.94,685.24,0.0265,6.49,1,TRUE,21626,56805,1.29,0,11,10,9,5,9,19,96,106,20,31,52,7668,69,192,126,0,0,0,1503,0,221,0,768,0,0,0,8,0,38,0,39359,5883,56,45242,6.690294068,0.149470261,3.77,2.85,75.73
Marion Island,PB1,PB1_1A,ACE_ITRAX_16269,20.7,20.7,20.7,0.05,235.08,1344.12,656.31,689.01,0.0265,6.5,1,TRUE,21948,57067,1.31,6,18,11,20,17,17,27,140,140,22,22,26,7704,39,204,122,0,61,19,1500,0,165,0,839,0,8,0,0,0,0,0,39373,5874,32,45247,6.702928158,0.14918853,3.77,2.53,67.24
Marion Island,PB1,PB1_1A,ACE_ITRAX_16270,20.8,20.8,20.8,0.05,238.4,1345.08,660.67,692.78,0.0265,6.52,1,TRUE,21830,57585,1.23,5,23,0,0,21,48,0,100,172,10,22,40,7590,64,179,136,0,61,66,1589,0,364,0,920,5,0,0,0,0,0,0,39420,6055,186,45475,6.510322048,0.153602232,3.77,2.14,56.76
Marion Island,PB1,PB1_1A,ACE_ITRAX_16271,20.9,20.9,20.9,0.05,242.35,1346.2,664.83,696.55,0.0265,6.54,1,TRUE,21131,53263,1.22,11,22,0,13,9,0,0,69,107,0,0,8,4826,108,194,92,30,0,0,1402,28,48,0,754,5,0,0,0,58,82,0,38977,5774,0,44751,6.750432975,0.148138646,3.77,2.54,67.24
Marion Island,PB1,PB1_1A,ACE_ITRAX_16272,21,21,21,0.05,244.82,1347.99,669.82,700.32,0.0265,6.56,1,TRUE,20990,53310,1.23,0,4,8,0,10,12,20,55,131,0,13,41,5730,132,147,88,0,0,0,1580,0,116,0,736,0,5,0,0,18,28,0,37778,5919,84,43697,6.382497043,0.15667849,3.77,2.13,56.5
Marion Island,PB1,PB1_1A,ACE_ITRAX_16273,21.1,21.1,21.1,0.05,248.79,1350.07,673.66,704.09,0.0265,6.58,1,TRUE,20927,52647,1.25,0,17,0,24,20,0,13,81,116,13,10,26,3817,188,190,87,11,0,11,1538,57,128,0,873,6,0,0,0,52,0,0,38914,5828,169,44742,6.677076184,0.149766151,3.77,3.02,80.24
Marion Island,PB1,PB1_1A,ACE_ITRAX_16274,21.2,21.2,21.2,0.05,251.84,1352.15,677.45,707.86,0.0265,6.59,1,TRUE,21071,50688,1.24,0,13,0,8,12,6,9,59,98,0,10,43,2355,49,171,57,0,0,0,1316,53,56,0,878,0,0,0,0,78,66,0,38924,5710,55,44634,6.816812609,0.146696126,3.77,2.57,68.04
Marion Island,PB1,PB1_1A,ACE_ITRAX_16275,21.3,21.3,21.3,0.05,253.41,1354.03,682.4,711.63,0.0265,6.6,1,TRUE,21166,51526,1.26,5,31,11,11,17,19,0,49,113,0,0,30,2442,42,221,142,0,0,60,1349,11,212,0,773,0,0,0,0,58,50,37,39307,5816,74,45123,6.758425034,0.147963467,3.77,1.72,45.76
Marion Island,PB1,PB1_1A,ACE_ITRAX_16276,21.4,21.4,21.4,0.05,256.79,1355.95,685.59,715.4,0.0265,6.61,1,TRUE,20952,52073,1.19,0,23,0,5,0,29,6,137,149,0,24,9,3099,73,193,106,0,13,75,1402,26,40,0,1010,0,0,0,0,0,0,0,39057,5905,123,44962,6.614225233,0.151189287,3.77,2.65,70.29
Marion Island,PB1,PB1_1A,ACE_ITRAX_16277,21.5,21.5,21.5,0.05,259.68,1358.53,689.5,719.17,0.0265,6.62,1,TRUE,20795,50787,1.33,0,6,12,15,19,27,16,89,79,0,17,19,2005,106,190,110,0,0,55,1189,4,78,0,715,7,0,0,9,175,120,0,39395,5655,69,45050,6.966401415,0.143546135,3.77,2.73,72.55
Marion Island,PB1,PB1_1A,ACE_ITRAX_16278,21.6,21.6,21.6,0.05,260.96,1362.55,693.83,722.94,0.0265,6.63,1,TRUE,21023,52143,1.14,0,51,17,15,20,19,15,121,131,0,0,41,2845,31,208,64,0,0,40,1267,0,149,0,999,0,0,0,0,6,71,112,39362,5807,116,45169,6.778370932,0.147528073,3.77,2.65,70.29
Marion Island,PB1,PB1_1A,ACE_ITRAX_16279,21.7,21.7,21.7,0.05,263.02,1368.89,697.67,726.71,0.0265,6.64,1,TRUE,20797,50745,1.39,0,11,0,25,5,16,20,160,171,0,0,64,1606,49,229,44,0,0,96,1260,0,205,0,983,0,0,0,0,0,0,0,39149,5914,181,45063,6.619715928,0.151063884,3.77,4.2,111.41
Marion Island,PB1,PB1_1A,ACE_ITRAX_16280,21.8,21.8,21.8,0.05,263.23,1376.38,701.53,730.48,0.0265,6.65,1,TRUE,20687,51144,1.36,0,41,13,24,14,10,14,125,171,23,14,16,1714,44,189,82,0,0,108,1337,103,229,0,962,0,0,0,0,181,144,0,38901,6034,0,44935,6.446967186,0.155111694,3.77,3.85,102.12
Marion Island,PB1,PB1_1A,ACE_ITRAX_16281,21.9,21.9,21.9,0.05,265.76,1383.4,705.25,734.25,0.0265,6.66,1,TRUE,21001,50929,1.34,10,12,0,0,7,8,0,137,208,0,0,9,1957,103,197,153,0,0,59,1321,44,109,0,956,0,0,0,0,96,73,0,39199,5625,0,44824,6.968711111,0.143498559,3.77,4.77,126.66
Marion Island,PB1,PB1_1A,ACE_ITRAX_16282,22,22,22,0.05,269.13,1391.25,709.29,738.02,0.0265,6.68,1,TRUE,20667,50122,1.21,0,10,0,16,15,0,4,112,195,0,11,32,1988,51,232,171,70,0,64,1462,0,148,0,931,0,0,0,0,0,0,0,38387,5572,42,43959,6.889267767,0.145153307,3.77,5.61,148.81
Marion Island,PB1,PB1_1A,ACE_ITRAX_16283,22.1,22.1,22.1,0.05,273.73,1394.2,713.03,741.79,0.0265,6.69,1,TRUE,20564,51390,1.26,15,29,18,10,12,14,11,120,186,0,11,52,3103,65,190,117,0,0,67,1497,114,187,0,751,0,0,0,6,117,0,0,38322,5624,93,43946,6.81401138,0.146756432,3.77,3.78,100.13
Marion Island,PB1,PB1_1A,ACE_ITRAX_16284,22.2,22.2,22.2,0.05,276.99,1401.27,717.32,745.56,0.0265,6.7,1,TRUE,20489,48866,1.23,0,29,0,12,15,18,15,82,185,0,0,13,1721,93,208,161,0,0,0,1180,0,9,0,1002,0,0,0,0,105,28,10,37975,5332,71,43307,7.122093023,0.140408163,3.77,5.16,137
Marion Island,PB1,PB1_1A,ACE_ITRAX_16285,22.3,22.3,22.3,0.05,279.09,1405.82,721.58,749.33,0.0265,6.71,1,TRUE,20417,49362,1.3,0,0,0,17,18,0,12,99,142,12,0,15,1590,69,167,66,0,0,124,1208,0,168,0,817,0,0,0,0,151,126,99,38356,5364,10,43720,7.150633855,0.139847742,3.77,3.32,88.2
Marion Island,PB1,PB1_1A,ACE_ITRAX_16286,22.4,22.4,22.4,0.05,281.06,1408.27,725.46,753.1,0.0265,6.72,1,TRUE,20095,48416,1.31,0,0,0,12,0,0,17,78,138,13,0,8,1185,48,168,89,0,0,0,1231,21,124,0,760,0,0,0,0,87,101,35,38093,5435,97,43528,7.008831647,0.142677132,3.77,2.21,58.62
Marion Island,PB1,PB1_1A,ACE_ITRAX_16287,22.5,22.5,22.5,0.05,282.07,1411.9,729.38,756.87,0.0265,6.73,1,TRUE,20240,48491,1.36,0,0,23,0,16,0,13,83,105,0,34,17,1139,55,190,24,0,0,59,1190,0,211,0,937,0,0,0,9,0,0,0,37935,5715,57,43650,6.637795276,0.150652432,3.77,2.32,61.54
Marion Island,PB1,PB1_1A,ACE_ITRAX_16288,22.6,22.6,22.6,0.05,283.34,1414.38,734.09,760.64,0.0265,6.74,1,TRUE,20318,49235,1.32,0,43,0,0,0,9,4,67,97,4,10,34,1016,155,184,100,0,0,0,1328,0,173,0,842,5,0,0,10,27,0,0,38449,5970,18,44419,6.440368509,0.155270618,3.77,1.88,49.73
Marion Island,PB1,PB1_1A,ACE_ITRAX_16289,22.7,22.7,22.7,0.05,284.61,1416.8,739.08,764.41,0.0265,6.75,1,TRUE,20631,50299,1.62,0,0,0,13,0,13,24,127,166,0,36,27,1996,86,192,0,0,0,17,1358,0,317,0,783,6,0,0,0,218,47,0,38601,5629,51,44230,6.857523539,0.145825238,3.77,1.84,48.94
Marion Island,PB1,PB1_1A,ACE_ITRAX_16290,22.8,22.8,22.8,0.05,287.02,1419.19,741.96,768.18,0.0265,6.76,1,TRUE,20247,49717,1.33,9,36,0,8,0,22,11,102,170,15,14,31,1283,82,199,136,34,141,4,1291,115,140,0,848,5,0,5,0,0,0,0,38818,5583,98,44401,6.95289271,0.14382503,3.77,2.4,63.66
Marion Island,PB1,PB1_1A,ACE_ITRAX_16291,22.9,22.9,22.9,0.05,288.1,1422.76,744.97,771.95,0.0265,6.78,1,TRUE,20226,49475,1.25,0,21,0,39,17,31,0,86,145,5,30,0,1193,34,196,133,0,0,0,1189,0,219,0,869,0,0,0,0,39,98,0,38705,5779,46,44484,6.697525523,0.149308875,3.77,2.32,61.67
Marion Island,PB1,PB1_1A,ACE_ITRAX_16292,23,23,23,0.05,290.55,1429.44,749.61,775.72,0.0265,6.79,1,TRUE,20502,50197,1.19,30,32,28,18,21,31,29,111,137,4,24,21,1119,44,200,128,6,0,110,1126,0,59,0,831,6,0,0,0,54,238,0,39378,5775,150,45153,6.818701299,0.146655493,3.77,4.57,121.09
Marion Island,PB1,PB1_1A,ACE_ITRAX_16293,23.1,23.1,23.1,0.05,293.8,1433.65,753.77,779.49,0.0265,6.79,1,TRUE,20663,50274,1.24,0,10,7,17,20,20,20,120,173,0,8,14,1452,22,258,86,0,0,61,1411,0,48,0,757,0,0,0,0,13,107,63,39032,5852,31,44884,6.669856459,0.149928264,3.77,3.73,98.94
Marion Island,PB1,PB1_1A,ACE_ITRAX_16294,23.2,23.2,23.2,0.05,295.09,1438.74,756.73,783.26,0.0265,6.8,1,TRUE,20735,50451,1.32,16,21,0,28,18,24,17,150,154,9,20,38,1399,0,164,77,0,0,0,1417,47,85,0,729,0,0,6,0,23,65,0,39381,5877,57,45258,6.70086779,0.149234402,3.77,3.19,84.62
Marion Island,PB1,PB1_1A,ACE_ITRAX_16295,23.3,23.3,23.3,0.05,296.35,1447.83,759.83,787.03,0.0265,6.82,1,TRUE,20541,51332,1.31,0,10,0,0,15,9,12,111,150,7,6,36,1713,61,178,120,28,0,0,1416,0,371,0,805,0,0,0,0,99,173,155,39318,5784,23,45102,6.797717842,0.147108195,3.77,5.17,137.27
Marion Island,PB1,PB1_1A,ACE_ITRAX_16296,23.4,23.4,23.4,0.05,298.62,1450.75,762.97,790.8,0.0265,6.83,1,TRUE,20774,51844,1.23,24,7,20,14,17,28,16,126,115,7,21,0,3756,44,167,37,0,0,42,1394,11,96,0,681,0,0,0,4,94,128,23,38537,5695,69,44232,6.766812994,0.147780056,3.77,2.6,68.83
Marion Island,PB1,PB1_1A,ACE_ITRAX_16297,23.5,23.5,23.5,0.05,300.44,1458.1,767.12,794.57,0.0265,6.84,1,TRUE,21105,55509,1.29,21,69,7,21,29,25,11,88,117,0,8,41,6432,169,198,164,0,0,0,1303,0,62,0,881,6,0,0,0,166,21,61,39006,5878,30,44884,6.635930589,0.150694765,3.77,4.58,121.62
Marion Island,PB1,PB1_1A,ACE_ITRAX_16298,23.6,23.6,23.6,0.05,302.44,1460.25,770.28,798.34,0.0265,6.84,1,TRUE,21057,55557,1.23,9,20,0,8,8,6,15,105,97,0,29,25,7030,39,172,73,45,0,65,1089,15,114,0,1015,0,0,0,0,35,8,0,39047,5767,101,44814,6.770764696,0.147693805,3.77,2.08,55.04
Marion Island,PB1,PB1_1A,ACE_ITRAX_16299,23.7,23.7,23.7,0.05,304.34,1462.49,773.74,802.11,0.0265,6.85,1,TRUE,21730,57975,1.29,0,17,0,6,14,17,14,95,106,0,8,10,8619,125,255,62,61,0,134,1389,21,196,0,896,0,5,0,0,0,0,0,39353,5871,169,45224,6.702946687,0.149188118,3.77,2.07,54.91
Marion Island,PB1,PB1_1A,ACE_ITRAX_16300,23.8,23.8,23.8,0.05,306.15,1468.55,777.42,805.88,0.0265,6.86,1,TRUE,21940,58532,1.37,0,9,5,0,4,7,0,115,100,22,14,0,9049,0,207,152,19,0,17,1256,108,211,0,978,0,0,0,0,60,43,0,39771,5662,0,45433,7.024196397,0.14236504,3.77,3.93,104.38
Marion Island,PB1,PB1_1A,ACE_ITRAX_16301,23.9,23.9,23.9,0.05,306.98,1471.41,780.3,809.65,0.0265,6.86,1,TRUE,21750,53767,1.17,0,28,18,27,21,9,0,112,95,18,0,36,3867,102,232,140,0,0,8,1200,19,138,0,793,0,0,0,0,77,0,0,40174,6023,97,46197,6.670097958,0.149922836,3.77,1.85,48.94
Marion Island,PB1,PB1_1A,ACE_ITRAX_16302,24,24,24,0.05,308.64,1478.26,783.31,813.42,0.0265,6.87,1,TRUE,21382,51303,1.26,0,30,0,7,21,12,0,107,86,0,8,34,1363,63,176,100,0,0,86,1078,59,100,0,1048,0,0,0,0,28,5,0,40297,5884,55,46181,6.8485724,0.146015832,3.77,4.25,112.86
Marion Island,PB1,PB1_1A,ACE_ITRAX_16303,24.1,24.1,24.1,0.05,309.06,1482.13,786.93,817.19,0.0265,6.87,1,TRUE,21594,51855,1.19,0,12,0,6,0,28,0,99,58,6,43,10,1533,34,189,124,0,0,40,1283,26,278,6,1002,0,0,0,0,93,70,119,40505,5588,0,46093,7.248568361,0.137958277,3.77,2.15,56.9
Marion Island,PB1,PB1_1A,ACE_ITRAX_16304,24.2,24.2,24.2,0.05,310.2,1486.06,790.49,820.96,0.0265,6.88,1,TRUE,22059,53832,1.25,33,38,0,8,18,21,13,101,101,8,8,31,2787,30,195,130,0,0,11,1478,0,140,0,992,0,0,0,0,10,28,0,40935,5940,68,46875,6.891414141,0.145108098,3.77,2.53,67.24
Marion Island,PB1,PB1_1A,ACE_ITRAX_16305,24.3,24.3,24.3,0.05,310.56,1494.45,795.75,824.73,0.0265,6.88,1,TRUE,21744,52102,1.39,0,0,0,17,19,18,11,79,109,0,11,0,1965,39,196,176,0,0,0,1235,63,0,0,880,0,0,0,0,190,12,0,40376,6031,44,46407,6.694743824,0.149370913,3.77,4.38,116.05
Marion Island,PB1,PB1_1A,ACE_ITRAX_16306,24.4,24.4,24.4,0.05,311.04,1503.91,799.75,828.5,0.0265,6.9,1,TRUE,21130,51177,1.56,0,20,0,15,15,16,6,90,119,0,0,21,1406,0,132,112,0,0,50,1408,0,149,0,1014,0,0,0,0,211,175,155,39428,5908,0,45336,6.67366283,0.149842751,3.77,4.97,131.83
Marion Island,PB1,PB1_1A,ACE_ITRAX_16307,24.5,24.5,24.5,0.05,311.84,1506.33,804.17,832.27,0.0265,6.9,1,TRUE,21440,52464,1.36,20,0,0,15,20,24,7,122,115,27,8,12,3781,17,203,28,0,0,13,1336,0,50,0,1119,5,0,0,0,31,0,0,39157,5727,41,44884,6.837262092,0.146257374,3.77,1.61,42.71
Marion Island,PB1,PB1_1A,ACE_ITRAX_16308,24.6,24.6,24.6,0.05,313.83,1517.68,807.56,836.05,0.0265,6.9,1,TRUE,22175,60965,1.51,0,0,0,0,0,7,15,107,141,12,19,0,13321,34,179,66,0,0,0,1257,0,112,0,889,0,0,0,0,19,63,47,38321,5606,0,43927,6.835711737,0.146290546,3.78,6.67,176.46
Marion Island,PB1,PB1_1A,ACE_ITRAX_16309,24.7,24.7,24.7,0.05,315.99,1521.84,810.98,839.82,0.0265,6.91,1,TRUE,21134,50533,1.38,52,52,27,12,16,11,19,85,98,0,38,14,1871,119,233,97,0,17,0,1338,0,91,0,834,0,0,0,0,0,0,0,39128,5712,0,44840,6.850140056,0.145982417,3.77,3.16,83.82
Marion Island,PB1,PB1_1A,ACE_ITRAX_16310,24.8,24.8,24.8,0.05,316.57,1528.5,815.03,843.59,0.0265,6.91,1,TRUE,20916,50240,1.33,0,0,0,0,5,10,0,110,94,0,6,25,1562,48,213,65,0,0,94,1369,22,218,25,987,0,0,0,0,0,0,0,38907,5791,101,44698,6.718528752,0.148842111,3.77,3.62,96.02
Marion Island,PB1,PB1_1A,ACE_ITRAX_16311,24.9,24.9,24.9,0.05,317.15,1536.84,818.45,847.36,0.0265,6.91,1,TRUE,21065,51066,1.46,33,13,25,27,0,12,8,86,132,14,10,44,1952,44,199,106,0,0,0,1186,145,269,0,975,0,0,0,0,5,51,0,38905,6064,93,44969,6.41573219,0.155866855,3.77,4.46,118.3
Marion Island,PB1,PB1_1A,ACE_ITRAX_16312,25,25,25,0.05,317.73,1546.37,822.18,851.13,0.0265,6.91,1,TRUE,21630,52456,1.23,0,0,0,7,15,0,11,131,141,0,18,59,1747,76,184,45,0,0,50,1293,0,296,0,906,0,0,0,0,54,15,101,40657,5963,125,46620,6.818212309,0.146666011,3.77,5.06,134.08
Marion Island,PB1,PB1_1A,ACE_ITRAX_16313,25.1,25.1,25.1,0.05,321.62,1550.12,825.72,854.79,0.0273,6.92,1,TRUE,21643,52750,1.24,0,27,0,23,26,21,0,105,126,0,0,53,1948,87,225,89,0,0,45,1337,0,65,0,945,10,0,0,0,31,44,0,40642,6001,61,46643,6.77253791,0.147655135,3.66,3.82,104.37
Marion Island,PB1,PB1_1A,ACE_ITRAX_16314,25.2,25.2,25.2,0.05,325.52,1552.35,828.84,858.45,0.0273,6.92,1,TRUE,22102,53406,1.38,0,11,0,0,0,9,10,138,135,0,0,24,2241,0,184,113,0,0,68,1425,0,74,0,871,0,0,0,0,179,0,0,41334,5871,0,47205,7.04036791,0.142038032,3.66,3.07,83.74
Marion Island,PB1,PB1_1A,ACE_ITRAX_16315,25.3,25.3,25.3,0.05,330.08,1556.29,831.81,862.12,0.0272,6.92,1,TRUE,22371,55219,1.53,11,42,0,23,6,40,18,154,189,5,30,27,2212,81,209,179,0,0,80,1579,0,253,0,984,0,0,0,8,154,0,0,41721,6395,84,48116,6.524003127,0.153280123,3.67,4.25,115.8
Marion Island,PB1,PB1_1A,ACE_ITRAX_16316,25.4,25.4,25.4,0.05,334.19,1561.11,835.66,865.78,0.0273,6.91,1,TRUE,22362,54260,1.27,13,23,0,0,0,8,17,143,193,6,0,26,1713,49,197,111,0,0,0,1482,0,211,0,1069,0,0,0,0,49,91,27,42027,6027,0,48054,6.973120956,0.143407809,3.66,4.46,121.99
Marion Island,PB1,PB1_1A,ACE_ITRAX_16317,25.5,25.5,25.5,0.05,339.42,1563.01,839.07,869.45,0.0272,6.92,1,TRUE,22325,53277,1.38,0,45,22,20,11,15,10,131,145,0,33,14,1240,0,259,110,38,0,0,1443,0,279,0,799,9,0,0,0,0,55,90,41826,5937,23,47763,7.044972208,0.141945202,3.67,3.57,97.14
Marion Island,PB1,PB1_1A,ACE_ITRAX_16318,25.6,25.6,25.6,0.05,348.84,1564.4,843.45,873.11,0.0273,6.92,1,TRUE,22562,52948,1.31,0,16,0,12,16,7,21,159,118,0,12,46,811,28,268,70,0,0,57,1472,0,0,0,780,0,0,0,0,0,154,0,42048,6044,0,48092,6.956982131,0.143740487,3.66,5.41,147.68
Marion Island,PB1,PB1_1A,ACE_ITRAX_16319,25.7,25.7,25.7,0.05,351.46,1566.38,846.12,876.78,0.0272,6.91,1,TRUE,22610,54352,1.24,0,14,5,24,19,24,14,140,168,0,21,23,1319,0,189,94,0,0,79,1387,0,81,0,1012,0,0,0,0,171,0,0,42564,6262,0,48826,6.797189396,0.147119632,3.67,2.3,62.67
Marion Island,PB1,PB1_1A,ACE_ITRAX_16320,25.8,25.8,25.8,0.05,360.97,1568,849.21,880.44,0.0273,6.91,1,TRUE,22547,54110,1.49,5,0,0,0,16,0,0,136,167,15,0,24,850,104,252,184,0,0,46,1435,58,227,0,953,0,0,0,0,186,156,24,42515,5974,0,48489,7.116672246,0.140515112,3.66,5.56,152.05
Marion Island,PB1,PB1_1A,ACE_ITRAX_16321,25.9,25.9,25.9,0.05,366.12,1574.26,854.01,884.1,0.0273,6.92,1,TRUE,22565,53891,1.34,0,0,0,11,33,29,0,133,123,27,28,49,1110,47,165,68,0,0,39,1370,0,105,0,1071,15,0,0,0,154,0,121,42121,6140,145,48261,6.86009772,0.145770518,3.66,5.7,155.87
Marion Island,PB1,PB1_1A,ACE_ITRAX_16322,26,26,26,0.05,368.22,1574.87,856.98,887.77,0.0272,6.92,1,TRUE,22606,54114,1.41,0,18,0,10,15,18,20,97,105,0,25,0,894,27,237,167,0,0,14,1550,0,210,0,1062,0,0,0,0,90,196,0,42458,6202,0,48660,6.845856175,0.146073767,3.67,1.35,36.92
Marion Island,PB1,PB1_1A,ACE_ITRAX_16323,26.1,26.1,26.1,0.05,369.68,1577.89,859.52,891.43,0.0273,6.92,1,TRUE,22511,53238,1.24,25,34,32,18,25,25,0,93,103,0,16,4,1020,64,238,136,17,0,149,1282,0,130,0,884,5,0,0,7,59,0,14,41928,6170,0,48098,6.795461912,0.147157031,3.66,2.24,61.2
Marion Island,PB1,PB1_1A,ACE_ITRAX_16324,26.2,26.2,26.2,0.05,370.72,1580.7,862.97,895.1,0.0272,6.92,1,TRUE,22420,54358,1.31,8,7,0,0,34,29,7,136,155,0,29,17,1731,62,225,130,0,0,0,1295,0,210,0,997,0,0,0,0,63,99,0,42395,5910,21,48305,7.173434856,0.139403232,3.67,1.92,52.45
Marion Island,PB1,PB1_1A,ACE_ITRAX_16325,26.3,26.3,26.3,0.05,373.33,1583.28,866.42,898.76,0.0273,6.92,1,TRUE,22276,54236,1.39,0,0,7,0,16,0,19,137,83,21,27,10,2398,0,303,80,0,0,103,1296,110,69,0,960,0,6,0,0,162,60,5,41768,5862,0,47630,7.125213238,0.140346677,3.66,2.59,70.9
Marion Island,PB1,PB1_1A,ACE_ITRAX_16326,26.4,26.4,26.4,0.05,376.17,1587.16,870.19,902.43,0.0272,6.92,1,TRUE,22198,53452,1.22,0,0,0,11,11,0,0,128,107,0,17,50,2279,19,194,175,0,0,47,1153,42,157,0,898,6,0,0,0,51,40,0,41536,5876,160,47412,7.068754255,0.141467643,3.67,3.36,91.55
Marion Island,PB1,PB1_1A,ACE_ITRAX_16327,26.5,26.5,26.5,0.05,380.45,1589.98,873.28,906.09,0.0273,6.92,1,TRUE,22317,53222,1.25,0,0,0,6,0,19,11,84,95,0,5,38,2107,77,194,33,0,0,54,1289,23,58,0,1081,0,0,0,0,87,0,0,41348,5828,137,47176,7.094715168,0.140949985,3.66,3.55,96.99
Marion Island,PB1,PB1_1A,ACE_ITRAX_16328,26.6,26.6,26.6,0.05,387.16,1592.55,876.9,909.75,0.0273,6.92,1,TRUE,22425,53710,1.26,62,46,8,10,4,20,10,124,111,8,24,27,1657,41,238,35,0,0,22,1411,0,165,0,917,0,0,0,0,65,0,114,41791,6047,25,47838,6.911030263,0.144696226,3.66,4.64,126.78
Marion Island,PB1,PB1_1A,ACE_ITRAX_16329,26.7,26.7,26.7,0.05,388.35,1595.16,881.56,913.42,0.0272,6.92,1,TRUE,22495,53815,1.37,0,18,0,0,30,11,13,143,153,0,7,35,1935,121,223,102,0,0,104,1486,0,217,0,946,0,0,0,0,72,45,0,41336,6005,0,47341,6.883597002,0.145272886,3.67,1.9,51.77
Marion Island,PB1,PB1_1A,ACE_ITRAX_16330,26.8,26.8,26.8,0.05,392.27,1598.08,884.99,917.08,0.0273,6.92,1,TRUE,22395,53458,1.38,0,0,0,7,4,6,0,125,115,20,26,14,1247,62,260,76,0,0,14,1432,0,211,0,845,0,0,0,0,168,48,0,42034,5936,0,47970,7.081199461,0.141219013,3.66,3.42,93.44
Marion Island,PB1,PB1_1A,ACE_ITRAX_16331,26.9,26.9,26.9,0.05,393.37,1604.6,888.22,920.75,0.0272,6.92,1,TRUE,22535,53648,1.48,0,11,6,17,20,16,22,136,116,12,5,17,1917,26,155,145,0,122,162,1505,0,90,0,962,0,0,0,0,0,82,0,41292,6058,56,47350,6.816110928,0.146711227,3.67,3.81,103.81
Marion Island,PB1,PB1_1A,ACE_ITRAX_16332,27,27,27,0.05,395.59,1609.54,892.73,924.41,0.0273,6.93,1,TRUE,22325,52903,1.32,0,18,15,16,21,0,11,122,136,7,0,51,984,36,193,129,0,82,17,1414,56,133,0,869,0,0,0,0,0,13,0,41715,6147,114,47862,6.786237189,0.147357066,3.66,3.58,97.81
Marion Island,PB1,PB1_1A,ACE_ITRAX_16333,27.1,27.1,27.1,0.05,402.5,1614.93,896.57,928.07,0.0273,6.94,1,TRUE,22307,53261,1.55,0,0,12,18,29,28,14,152,109,0,36,0,955,49,209,38,0,0,47,1503,0,164,0,998,11,12,0,0,57,249,0,41944,5876,11,47820,7.138189244,0.140091551,3.66,6.15,168.03
Marion Island,PB1,PB1_1A,ACE_ITRAX_16334,27.2,27.2,27.2,0.05,405.73,1616.47,901.11,931.74,0.0272,6.94,1,TRUE,22568,53544,1.35,0,0,20,6,22,21,14,104,114,0,45,20,1683,58,229,80,0,0,62,1311,0,64,0,988,8,10,0,0,77,40,0,41606,6155,0,47761,6.759707555,0.147935394,3.67,2.38,64.99
Marion Island,PB1,PB1_1A,ACE_ITRAX_16335,27.3,27.3,27.3,0.05,408.6,1620.58,904.21,935.4,0.0273,6.93,1,TRUE,22048,53187,1.31,46,38,6,6,9,0,17,101,103,0,18,9,1055,50,194,41,0,0,21,1320,23,152,0,1029,0,0,0,0,96,151,19,41794,6092,0,47886,6.860472751,0.14576255,3.66,3.49,95.36
Marion Island,PB1,PB1_1A,ACE_ITRAX_16336,27.4,27.4,27.4,0.05,411.73,1623.85,907.56,939.07,0.0272,6.94,1,TRUE,22408,53211,1.49,10,16,32,12,5,8,13,99,137,0,15,0,1058,31,202,97,0,0,142,1627,0,101,0,1062,0,0,0,0,90,85,0,41608,6020,0,47628,6.911627907,0.144683715,3.67,3.2,87.19
Marion Island,PB1,PB1_1A,ACE_ITRAX_16337,27.5,27.5,27.5,0.05,413.81,1629.4,911.68,942.73,0.0273,6.93,1,TRUE,22787,55458,1.21,0,30,10,27,10,21,7,132,124,20,21,31,1692,50,200,66,0,0,28,1508,150,238,0,968,0,0,0,0,119,201,0,42791,6273,0,49064,6.821457038,0.146596247,3.66,3.82,104.23
Marion Island,PB1,PB1_1A,ACE_ITRAX_16338,27.6,27.6,27.6,0.05,417.04,1631.83,914.91,946.4,0.0272,6.92,1,TRUE,22732,56015,1.33,0,6,0,14,17,0,14,131,167,0,23,28,2502,24,231,147,0,0,34,1460,7,257,0,1073,0,0,0,0,110,82,0,42585,6286,0,48871,6.774578428,0.147610661,3.67,2.83,77.11
Marion Island,PB1,PB1_1A,ACE_ITRAX_16339,27.7,27.7,27.7,0.05,418.99,1635.09,918.31,950.06,0.0273,6.93,1,TRUE,22571,54348,1.31,18,24,0,0,24,31,0,120,131,0,0,43,1941,0,270,137,13,0,0,1436,0,13,0,906,0,0,0,0,90,74,25,42143,6106,0,48249,6.901899771,0.144887644,3.66,2.6,71.17
